"amenity","latitude","longitude","type"
"Ntuc Fairprice (Bukit Timah Plaza)",1.33863165,103.7785854,"Market"
"Giant(Bukit Batok East Avenue 3)",1.346681716,103.7572868,"Market"
"Beauty World Plaza",1.34179952,103.776259,"Shopping Mall"
"Bukit Timah Shopping Centre",1.343320123,103.7758538,"Shopping Mall"
"Bukit Timah Plaza",1.338630986,103.7785851,"Shopping Mall"
"Bugis Mrt",1.300792359,103.8559508,"Train"
"Esplanade Mrt",1.293512953,103.8552948,"Train"
"Nicoll Highway Mrt",1.300063624,103.8624863,"Train"
"Aft Beach Rd",1.298864654,103.8573458,"Bus Stop"
"Nth Bridge Commercial Cplx",1.298207841,103.8554914,"Bus Stop"
"Bef Beach Rd",1.2973875,103.8555758,"Bus Stop"
"Cold Storage Bugis Junction",1.299165648,103.8554452,"Market"
"Ntuc Fairprice (Rochor Centre)",1.302022295,103.8551649,"Market"
"Jason's Market Place",1.293893583,103.8531199,"Market"
"Bugis Point",1.298834337,103.856129,"Shopping Mall"
"Bugis Cube",1.298194338,103.8556552,"Shopping Mall"
"Bugis Junction",1.298994145,103.8553844,"Shopping Mall"
"Shaw Twrs",1.296959722,103.8568653,"Bus Stop"
"Opp The Gateway",1.299198261,103.8586452,"Bus Stop"
"Duo Tower And Duo Galleria, Mixed-Use Development At Ophir-Rochor, Singapore (Commercial) (Green Mark Buildings)",1.299162298,103.8578592,"Shopping Mall"
"Bukit Panjang Lrt",1.377983173,103.7629803,"Train"
"Ten Mile Junction Lrt",1.379866659,103.7605247,"Train"
"Petir Lrt",1.377779689,103.7665389,"Train"
"Bt Panjang Stn",1.3786341,103.7621955,"Bus Stop"
"Aft Bt Panjang Stn",1.377856856,103.7623237,"Bus Stop"
"Opp Bt Panjang Stn",1.378207227,103.7617218,"Bus Stop"
